Subject,Seed,Chain,Iter,dots,x,y
base1_1,1,1,1,1,145.79,-118.67
base1_1,1,1,1,2,246.67,-74.46
base1_1,1,1,1,3,144.74,88.74
base1_1,1,1,1,4,6.63,-176.16
base1_1,1,1,1,5,193.69,1.94
base1_1,1,1,1,6,43.64,54.99
base1_1,1,1,1,7,15.8,52.81
base1_1,1,1,1,8,-29.44,-191.71
base1_1,1,1,1,9,87.9,143.12
base1_1,1,1,1,10,15.03,-153.45
base1_1,1,1,1,11,134.67,176.86
base1_1,1,1,1,12,4.06,-59.92
base1_1,1,1,1,13,59.24,147.96
base1_1,1,1,1,14,200.41,91.91
base1_1,1,1,1,15,-0.47,1.21
AAKFUMPLS0U6N,1,1,2,1,-19,-179
AAKFUMPLS0U6N,1,1,2,2,16,-152
AAKFUMPLS0U6N,1,1,2,3,31,-117
AAKFUMPLS0U6N,1,1,2,4,163,-61
AAKFUMPLS0U6N,1,1,2,5,183,49
AAKFUMPLS0U6N,1,1,2,6,243,3
AAKFUMPLS0U6N,1,1,2,7,-59,28
AAKFUMPLS0U6N,1,1,2,8,-4,-23
AAKFUMPLS0U6N,1,1,2,9,47,-24
AAKFUMPLS0U6N,1,1,2,10,115,170
AAKFUMPLS0U6N,1,1,2,11,35,49
AAKFUMPLS0U6N,1,1,2,12,0,88
AAKFUMPLS0U6N,1,1,2,13,68,99
AAKFUMPLS0U6N,1,1,2,14,-117,111
AAKFUMPLS0U6N,1,1,2,15,-173,24
A2BHCOFA55GS4D,1,1,3,1,60,-169
A2BHCOFA55GS4D,1,1,3,2,69,-148
A2BHCOFA55GS4D,1,1,3,3,75,-121
A2BHCOFA55GS4D,1,1,3,4,72,-55
A2BHCOFA55GS4D,1,1,3,5,67,-36
A2BHCOFA55GS4D,1,1,3,6,74,-13
A2BHCOFA55GS4D,1,1,3,7,106,-113
A2BHCOFA55GS4D,1,1,3,8,151,-92
A2BHCOFA55GS4D,1,1,3,9,81,15
A2BHCOFA55GS4D,1,1,3,10,61,50
A2BHCOFA55GS4D,1,1,3,11,170,-72
A2BHCOFA55GS4D,1,1,3,12,99,47
A2BHCOFA55GS4D,1,1,3,13,120,60
A2BHCOFA55GS4D,1,1,3,14,159,-55
A2BHCOFA55GS4D,1,1,3,15,173,-28
A3EGOJCE85CS4I,1,1,4,1,116,-150
A3EGOJCE85CS4I,1,1,4,2,137,-134
A3EGOJCE85CS4I,1,1,4,3,138,-114
A3EGOJCE85CS4I,1,1,4,4,142,-88
A3EGOJCE85CS4I,1,1,4,5,193,-55
A3EGOJCE85CS4I,1,1,4,6,190,-33
A3EGOJCE85CS4I,1,1,4,7,181,0
A3EGOJCE85CS4I,1,1,4,8,161,13
